symbol,avg_sentiment,mention_count,bullish_ratio,total_score,timeframe_days
A,0.42747954046291603,5919,0.719378273356986,181635,1
AAPL,0.19099999999999998,3,1.0,4,1
AB,0.74395,2,1.0,3,1
ABBV,0.2388,1,1.0,16,1
ABSI,0.1591,2,0.5,11,1
AC,-0.9792,1,0.0,4,1
ACCD,0.0,1,0.0,4,1
ACHV,0.7762,1,1.0,0,1
ACOG,0.0,2,0.0,3,1
ACON,0.0,1,0.0,1,1
ACT,0.7001473684210526,19,0.8947368421052632,2709,1
ACXP,0.0,1,0.0,0,1
ADD,0.26794621848739497,119,0.6218487394957983,554,1
ADM,0.0,1,0.0,1,1
ADP,0.3553733333333334,15,0.5333333333333333,324,1
AEON,0.8829,1,1.0,3,1
AG,-0.14229999999999998,2,0.5,109,1
AGI,-0.06381666666666667,6,0.5,9,1
AGO,0.4628972727272727,110,0.8181818181818182,3610,1
AHH,-0.038349999999999995,2,0.5,3,1
AI,0.4585121052631579,190,0.7210526315789474,2776,1
AIM,0.944975,4,1.0,690,1
AIR,0.6789666666666666,9,0.7777777777777778,89,1
AKA,0.4405777777777778,9,0.7777777777777778,37,1
AL,-0.5994,1,0.0,1,1
ALL,0.2654847798742138,795,0.6176100628930817,28756,1
ALLY,0.41080000000000005,2,0.5,3,1
ALOT,0.24498666666666666,15,0.6,67,1
ALTS,-0.7906,1,0.0,3,1
ALUR,0.9098,1,1.0,1,1
AM,0.4468440097799511,409,0.7334963325183375,23750,1
AMC,0.37717999999999996,5,0.6,10,1
AMD,0.24805999999999997,105,0.580952380952381,992,1
AMPS,0.8205,1,1.0,3,1
AMPX,0.18717,10,0.5,70,1
AMT,0.3612,1,1.0,2,1
AMZN,0.0,1,0.0,1,1
AN,0.4742387622149837,614,0.750814332247557,13772,1
ANY,0.3913505813953488,344,0.7296511627906976,7733,1
API,0.3982,2,0.5,30,1
APLD,0.7003,1,1.0,1,1
APP,0.18106111111111112,18,0.4444444444444444,418,1
APPS,0.2854,8,0.625,111,1
APYX,0.0,1,0.0,1,1
ARBE,0.24592714285714287,70,0.4142857142857143,521,1
ARCC,0.2388,1,1.0,16,1
ARCH,0.7013,1,1.0,48,1
ARE,0.3107919163763066,1435,0.640418118466899,46831,1
ARM,0.5200400000000001,5,0.8,43,1
AS,0.5050392176529589,997,0.7783350050150452,43364,1
ASML,0.8393,18,0.8888888888888888,479,1
ASNS,0.2732,1,1.0,4,1
ASTS,-0.4404,1,0.0,7,1
ATHS,-0.46615,2,0.0,18,1
ATOM,0.5507,2,1.0,9,1
AUR,0.5574,1,1.0,3,1
AURA,0.0,1,0.0,0,1
AUUD,0.47175,2,0.5,3,1
AVAV,-0.5023,1,0.0,2,1
AVGO,-0.6996,2,0.0,20,1
AX,0.6322,1,1.0,1,1
AYRO,0.9901,7,1.0,7,1
B,0.026257142857142868,14,0.5,27,1
BA,-0.1491,2,0.5,8,1
BABA,0.9997,1,1.0,0,1
BACK,0.2792876876876877,333,0.5915915915915916,7484,1
BAER,-0.4028,2,0.0,6,1
BALL,0.33898,5,0.6,59,1
BAND,0.6870333333333333,3,1.0,24,1
BASE,0.4323545454545455,11,0.6363636363636364,5225,1
BBAI,0.5715,5,0.8,44,1
BC,0.07568888888888886,9,0.4444444444444444,65,1
BE,0.34594470667565747,1483,0.6662171274443696,46509,1
BEAM,0.8011,1,1.0,9,1
BEAT,0.18437692307692308,26,0.5769230769230769,101,1
BEEM,0.8205,1,1.0,3,1
BEN,-0.28209999999999996,2,0.5,2,1
BEST,0.7110186813186814,182,0.9560439560439561,6321,1
BHAT,0.15387121212121213,66,0.3939393939393939,2996,1
BILL,0.3444,10,0.8,76,1
BIO,0.69595,6,0.8333333333333334,10,1
BIRD,-0.3436625,8,0.125,15,1
BJ,0.5106,1,1.0,1,1
BKYI,0.0,2,0.0,2,1
BLUE,0.3204142857142857,14,0.6428571428571429,137,1
BMY,0.8624,1,1.0,1,1
BN,0.2348,2,0.5,13,1
BNAI,0.0,1,0.0,2,1
BNGO,0.3928,4,0.75,7,1
BNRG,0.09106666666666667,3,0.3333333333333333,3,1
BODY,0.41035,4,1.0,58,1
BON,0.3182,1,1.0,2,1
BOOM,0.4566857142857143,14,0.7142857142857143,50,1
BOW,0.5838,1,1.0,8,1
BOX,0.31245,2,0.5,18,1
BP,-0.3612,1,0.0,25,1
BRAG,0.8271,1,1.0,2,1
BRO,0.1414238095238095,63,0.47619047619047616,914,1
BROS,0.05424285714285715,7,0.2857142857142857,47,1
BTC,-0.06794736842105265,19,0.42105263157894735,217,1
BUD,0.21906666666666666,3,0.6666666666666666,8,1
BW,0.0,1,0.0,9,1
BY,0.41938858350951375,473,0.7019027484143763,9918,1
BYD,0.9971,3,1.0,396,1
C,0.335125,4,0.75,25,1
CALM,0.43755714285714287,7,1.0,72,1
CAN,0.2968630882352941,680,0.6411764705882353,26694,1
CAR,0.2576689655172414,58,0.6551724137931034,825,1
CARD,0.485025,8,0.75,258,1
CARE,0.47017407407407413,27,0.7777777777777778,289,1
CARS,0.11167999999999999,15,0.4,100,1
CART,0.04945000000000002,4,0.5,6,1
CASH,0.507980985915493,142,0.8380281690140845,926,1
CAT,-0.2051375,8,0.125,51,1
CAVA,0.3612,1,1.0,4,1
CBAT,0.64425,2,1.0,3,1
CC,0.56465,2,1.0,3,1
CCS,0.7147,2,1.0,2,1
CDT,0.50964,5,0.6,17,1
CDTX,0.8205,1,1.0,3,1
CENT,0.517525,4,1.0,16,1
CERO,0.38076,10,0.6,15,1
