symbol,avg_sentiment,mention_count,bullish_ratio,total_score,timeframe_days
CMS,0.7579,1,1.0,2,1
CNET,0.5007,2,1.0,6,1
CNS,0.9968,3,1.0,12,1
CNSP,0.0,1,0.0,1,1
COIN,0.09208125,16,0.4375,97,1
COKE,-0.48035,2,0.0,5,1
COLD,0.14566923076923077,13,0.6153846153846154,101,1
COMP,0.21852,5,0.6,45,1
COOK,-0.24916666666666665,3,0.3333333333333333,25,1
COST,0.4750446428571428,112,0.7232142857142857,407,1
CP,0.6486,2,1.0,2,1
CPA,0.39513333333333334,6,0.6666666666666666,6,1
CPRX,0.4215,1,1.0,1,1
CRKN,0.5568909090909091,11,0.6363636363636364,73,1
CRVS,0.9561,1,1.0,2,1
CRWD,0.27606,5,0.8,34,1
CSWC,0.21315,4,1.0,48,1
CTM,0.08314193548387099,31,0.41935483870967744,197,1
CTSO,0.47235,2,0.5,4,1
CURB,0.19355,2,0.5,9,1
CURR,0.3818,1,1.0,1,1
CUZ,-0.13816315789473685,19,0.2631578947368421,169,1
CVAC,0.0,1,0.0,0,1
CVM,0.0,1,0.0,1,1
CVNA,-0.030339999999999992,25,0.32,215,1
CVS,0.34,1,1.0,1,1
CVX,0.6696,1,1.0,1,1
CYN,0.40602,5,0.6,16,1
D,0.16662500000000002,4,0.5,6,1
DARE,-0.2263,2,0.0,2,1
DASH,0.1406,1,1.0,2,1
DATS,0.15175,2,1.0,0,1
DAVE,0.502,2,1.0,2,1
DAWN,0.0,1,0.0,4,1
DAY,0.26352550724637686,345,0.5855072463768116,14824,1
DC,0.9938,1,1.0,1,1
DD,0.4525395833333334,48,0.7291666666666666,276,1
DDS,-0.0516,1,0.0,2,1
DE,0.8674,1,1.0,8,1
DEC,0.447725,12,0.9166666666666666,61,1
DECK,0.85895,2,1.0,18,1
DELL,0.5092,3,0.6666666666666666,5,1
DFH,0.8367,1,1.0,2,1
DGLY,0.0,1,0.0,1,1
DGX,0.0,1,0.0,2,1
DHI,0.8367,1,1.0,2,1
DICE,0.9524,1,1.0,1,1
DIS,-0.3182,1,0.0,1,1
DM,0.2168,4,0.75,13,1
DMA,0.111,4,0.5,11,1
DNA,0.0,2,0.0,71,1
DOW,0.48228,5,0.6,169,1
DRMA,0.0,1,0.0,1,1
DRUG,0.7330333333333333,24,0.875,796,1
DTE,0.31350000000000006,3,0.6666666666666666,38,1
E,0.6413,2,1.0,7,1
EA,0.0,1,0.0,1,1
EARN,0.5084304347826086,23,0.7391304347826086,82,1
EAST,0.22363846153846156,13,0.6153846153846154,41,1
EAT,0.018579999999999996,20,0.4,109,1
EBAY,0.39465000000000006,2,1.0,11,1
EBS,0.8977,1,1.0,9,1
ECO,0.7414,2,1.0,4,1
ED,0.8834,1,1.0,2,1
EDBL,0.0,1,0.0,3,1
EDIT,0.3565,9,0.5555555555555556,77,1
EFSH,0.6326,1,1.0,1,1
EG,0.59902,5,0.8,10,1
EGO,-0.023700000000000016,3,0.6666666666666666,4,1
EH,0.147175,4,0.5,7,1
EJH,0.0,1,0.0,1,1
EKSO,0.5183555555555555,9,0.7777777777777778,81,1
EL,0.35875,2,1.0,4,1
ELEV,0.3264,6,0.5,14,1
ELSE,0.36758615384615384,65,0.7076923076923077,2999,1
EM,0.18816666666666668,6,0.5,346,1
ENB,0.9848,4,1.0,-4,1
EQV,0.4958,2,0.5,3,1
ET,0.9959,1,1.0,5,1
EU,-0.17418333333333333,6,0.16666666666666666,15,1
EVER,0.22381098901098903,91,0.5824175824175825,11219,1
EXP,0.03256,5,0.2,13,1
EYE,0.5744333333333334,39,0.8461538461538461,141,1
EYEN,0.57992,5,0.8,10,1
F,0.3153444444444444,9,0.5555555555555556,18,1
FA,0.9568,2,1.0,2,1
FACT,0.222965625,64,0.5625,278,1
FARM,0.062350000000000017,6,0.3333333333333333,62,1
FAST,0.330395,40,0.575,453,1
FAT,0.17195,8,0.375,182,1
FCN,-0.5267,1,0.0,7,1
FCUV,0.0882,2,0.5,6,1
FDS,-0.4767,1,0.0,1,1
FI,0.296,1,1.0,40,1
FIVE,0.3546526315789474,19,0.6842105263157895,231,1
FIX,0.09379999999999998,9,0.5555555555555556,32,1
FLEX,0.0,1,0.0,2,1
FLO,0.7013,2,1.0,90,1
FN,-0.012433333333333333,3,0.3333333333333333,15,1
FNGS,0.2388,4,1.0,62,1
FOLD,0.08139999999999999,6,0.5,11,1
FOR,0.4255162672681139,3547,0.7225824640541303,113098,1
FORD,0.9344,2,1.0,0,1
FORM,0.49794347826086954,23,0.782608695652174,2705,1
FOUR,0.2796529411764706,17,0.47058823529411764,67,1
FOX,-0.2319,4,0.25,7,1
FOXO,0.0,1,0.0,1,1
FR,0.20395000000000002,2,0.5,4,1
FUBO,0.1577904761904762,21,0.42857142857142855,127,1
